Name,ratings,location,description,open_hours,Opened,Closed,phone_number,Picture
Cafe Gemitir Bali,4.7,"Jl. Nakula No.88, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",· Makan di tempat · Bawa pulang · Pesan antar,11.00–22.00,11.00,22.00,0817-4780-001,https://lh5.googleusercontent.com/p/AF1QipP1Dh26oUuXNurjG3YGZxt6C60C-NtFKVptK0Yf=w408-h271-k-no
Amolas Cafe,4.8,"Jl. Kayu Tulang No.16, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,07.30–21.00,07.30,21.00,0813-5323-4290,https://lh5.googleusercontent.com/p/AF1QipNUUbj0RPMbwwPOm1PoOJEH1iBPMlRpFO77TMk8=w408-h544-k-no
Give Cafe,4.7,"Jl. Canggu Padang Linjong No.85, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,08.00–21.00,08.00,21.00,0821-4545-9316,https://lh5.googleusercontent.com/p/AF1QipMpTHcfoMwM_7davX29TesR0_B32GElN7zfSIHq=w408-h544-k-no
Kim Soo Home,4.4,"Jl. Kayu Aya No.21, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Galeri peralatan rumah tangga desainer dengan kafe yang menyajikan kopi, camilan global, dan teras.
·
Makan di tempat",07.30–17.30,07.30,17.30,0822-4713-0122,https://lh5.googleusercontent.com/p/AF1QipNvXKumdoiNBVowZhQeQpQJQg-gEY0V79rzJyd6=w408-h544-k-no
Cafe Bali Seminyak,4.4,"Jalan Laksmana (Kayu Aya Seminyak Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,07.30–23.00,07.30,23.00,(0361)736484,https://lh5.googleusercontent.com/p/AF1QipNQFk0pcVkwllfhHXCfKmeTHP2jtCF7Gse0nZ0A=w408-h264-k-no
Blacklist Coffee Roasters,4.8,"Jl. Tanah Barak No.6, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,07.00–20.00,07.00,20.00,-,https://lh5.googleusercontent.com/p/AF1QipOZ54KAyuZVo4dGy_47fx40NKVAsqZj5-rmobVU=w426-h240-k-no
Semeja Coffee Bali,4.8,"Jl. Raya Kedampang No.7, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,08.00–23.00,08.00,23.00,0858-5867-8056,https://lh5.googleusercontent.com/p/AF1QipOQBGj5twYb58Bk0LqnM-Z3no0j_Ey5WgT9g0JE=w408-h272-k-no
Lazy Cats,4.4,"Jl. Raya Ubud No.11, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","Tempat menawan berdekorasi kuno dan trendi yang menyajikan beragam hidangan vegetarian.
·
Makan di tempat
·
Bawa pulang",08.00–21.00,08.00,21.00,0812-4652-4975,https://lh5.googleusercontent.com/p/AF1QipOQXJ08NlaB8z1fRmW2w9Q9u0I3MFCgUlc3PjUY=w408-h510-k-no
Moodest Cafe,4.5,"Jl. Tegal Cupek No.34, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,07.30–20.30,07.30,20.30,0877-8844-5509,https://lh5.googleusercontent.com/p/AF1QipN6uHMQaMgNJWRT5Y-5wcJ3NdB1xII0qtT4RYFU=w408-h544-k-no
Tis Cafe,4.6,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",· Makan di tempat · Bawa pulang,08.00–21.00,08.00,21.00,0813-5306-4109,https://lh5.googleusercontent.com/p/AF1QipMCGIBy-pLy1llpa1QAFNV7RZXSiIwFQQyn9LVE=w408-h544-k-no
Bali Coffee Club,4.8,"Gg. Meduri Lingkungan Taman Mertanadi No.5, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Jaringan kedai kopi kasual yang menyajikan sarapan dan makan siang, serta kopi yang khas.
·
Makan di tempat
·
Bawa pulang",07.30–21.00,07.30,21.00,(0361) 9348918,https://lh5.googleusercontent.com/p/AF1QipPijnlXfzKJixu_ZvZclzwd7Or3UTaLU3N5kuFv=w408-h408-k-no
AOAO CAFE,4.9,"Jl. Patimura No.8B, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Ambil di tepi jalan,09.00–21.30,09.00,21.30,0813-3723-5037,https://lh5.googleusercontent.com/p/AF1QipPf8o1LYMtA9LzIAP5IK5O72dn7YxILgLymPdOv=w408-h306-k-no
Cafe Vida,4.4,"Jl. Pantai Batu Bolong No.38A, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",· Makan di tempat · Ambil di tepi jalan · Antar tanpa bertemu,07.00–22.30,07.00,22.30,0813-3988-6864,https://lh5.googleusercontent.com/p/AF1QipPA-2EpSJi1DN4JPewck3xn68JK4a4nGSGlvBBp=w408-h271-k-no
Bendino Cafe & Bistro BALI,4.6,"Jimbaran Arcade Jalan Uluwatu I / 177 M, Jimbaran, South Kuta, Badung Regency, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,08.30–23.00,08.30,23.00,-,https://lh5.googleusercontent.com/p/AF1QipNcoUASY3LlKxjzfSyvgQVFj44lFrNvYLC1Xnfw=w426-h240-k-no
Pissari Bali Cafe,4.8,"Jl. Monkey Forest No.88X, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,10.00–22.00,10.00,22.00,0812-3666-2661,https://lh5.googleusercontent.com/p/AF1QipOEDls9LtLlKtCflC_7YNVBxNvp50kbj6xN1C0J=w408-h307-k-no
Settled Cafe,4.9,"Jl. Muding Indah VII No.8, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,01.00–22.00,01.00,22.00,0812-1948-5232,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_iRlsbs1pjYbv4TKdYrVcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.53745&pitch=0&thumbfov=100
Rise & Shine Cafe,4.7,"Jl. Canggu Padang Linjong No.71a, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,07.00–15.00,07.00,15.00,0812-1948-5232,https://lh5.googleusercontent.com/p/AF1QipMLSFs0zQsvfbynVfq_XyTFy5HyvFO9xX0xYE3_=w408-h306-k-no
Tekor Bali Cafe,3.7,"Jl. Double Six No.66, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,10.00–22.00,10.00,22.00,(0361)735268,https://lh5.googleusercontent.com/p/AF1QipP76B_e1PCljTEkEhVb4k6P-EjFN4fbC_JwpH_0=w408-h306-k-no
Cafe Organic Bali,4.2,"No.99 X, Jl. Petitenget, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Menyediakan makanan, sup, jus buah segar dan kopi yg menggunakan bahan organik. Tersedia wifi.
·
Makan di tempat
·
Bawa pulang
·
Antar tanpa bertemu",08.00–16.00,08.00,16.00,0859-1066-15890,https://lh5.googleusercontent.com/p/AF1QipMSNay8K5LnRtsS1gXWuChNJ9ZA-EFKTbOuKsfe=w408-h544-k-no
Sunny16 Cafe - Fontana Hotel,4.3,"Jl. Dewi Sri No.68, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,Buka 24 jam,Buka 24 jam,Buka 24 jam,(0361) 8947100,https://lh5.googleusercontent.com/p/AF1QipPCMjcxmrjl_w_YEw1N_c-u60KG2sGvyaIGkp-J=w408-h272-k-no
Crypto Cafe Bali,4.7,"856C+X93, Seminyak, Kec. Kuta, Kabupaten Badung, Bali",· Makan di tempat · Ambil di tepi jalan · Pesan antar,08.00–22.00,08.00,22.00,0815-2933-3888,https://lh5.googleusercontent.com/p/AF1QipNQOyZTqdvzzJ7stCvOoCPW0rz6o8kj21P1fxdd=w408-h544-k-no
SANTÉ CAFÉ BALI,4.9,"Jl. Raya Kedampang, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Ambil di tepi jalan · Antar tanpa bertemu,08.00–22.00,08.00,22.00,0881-2111-211,https://lh5.googleusercontent.com/p/AF1QipMu8KhGmKy7azdro8O1rQHO2Adj7-ttfxKieNGt=w408-h544-k-no
Yellow Flower Café,4.4,"Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",· Makan di tempat · Bawa pulang,07.00–21.00,07.00,21.00,0812-3889-9695,https://lh5.googleusercontent.com/p/AF1QipOJJWM_1NHX9IQx_kka_-0Vfe6Sw3ZS1Jo57C2K=w408-h307-k-no
Mövenpick Café,4.4,"Jl. Wanagiri No.1, Jimbaran, Kec. Kuta Sel., Bali, 80362",· Makan di tempat · Ambil di tepi jalan · Pesan antar,08.00–22.00,08.00,22.00,(0361)4725777,https://lh5.googleusercontent.com/p/AF1QipOw2sU3Kl0qinduhb8SWtlmM40VVRafN70QaSSB=w408-h272-k-no
Urban Cafe,4.3,"Jl. Raya Puputan No.10, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,09.00–23.00,09.00,23.00,0823-4067-8100,https://lh5.googleusercontent.com/p/AF1QipNRPWZR2wnDFLIbIROqort9O_kB9ejphbF6uKhG=w408-h305-k-no
Honey & Bread Cafe,4.4,"Jl. Bypass Ngurah Rai No.KM.25, Benoa, Nusa Dua, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,08.00–23.00,08.00,23.00,(0361)776316,https://lh5.googleusercontent.com/p/AF1QipPQVUUlGu9wwyz6S7fBJtcOCe9vOUg3GmTqW0vm=w408-h544-k-no
World Cafe Wahrung,4.5,"8584+JVW, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,10.00–22.00,10.00,22.00,(0361)3705208,https://lh5.googleusercontent.com/p/AF1QipM77gc0ktLy280VvE_lgpYcjPjAolzYj4ZgHQGC=w408-h306-k-no
The Lost cafe,4.9,"Jl. Baturiti Bedugul No.108A, Batunya, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",· Makan di tempat · Ambil di tepi jalan,08.00–17.00,08.00,17.00,0821-4626-9490,https://lh5.googleusercontent.com/p/AF1QipNd8phqRl9JxhNY4WHIfWOVLbiP2bqemDZYkfFy=w526-h240-k-no
Cafe Vespa,4.3,"Jl. Banjar Penestanan Kaja, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","Beraneka macam kopi, teh, dan kuliner internasional disajikan di kafe bernuansa santai, serta Wi-Fi.
·
Makan di tempat
·
Bawa pulang
·
Antar tanpa bertemu",08.00–22.00,08.00,22.00,0812-3791-8530,https://lh5.googleusercontent.com/p/AF1QipNclZgMRrXyv7E8cGxlThr8Fn29dOT1TEC8CaOA=s451-k-no
Booster Coffee Bali,4.5,"Jl. Raya Sesetan No.23a, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80225",· Makan di tempat · Ambil di tepi jalan · Pesan antar,08.00–22.30,08.00,22.30,0878-2540-2697,https://lh5.googleusercontent.com/p/AF1QipM5-mA5LCLVVCXdCCWCDeZuFYw940IvsZOEi9zM=s517-k-no
BRUNO Allday Cafe,4.5,"Jl. Raya Puputan No.88, Dangin Puri Klod, Kec. Denpasar Tim., Kota Denpasar, Bali 80234",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,08.00–22.45,08.00,22.45,0877-8314-2711,https://lh5.googleusercontent.com/p/AF1QipNsligZy_m2f8WqxFutV7HticgYtDrhVni0qi4H=w408-h272-k-no
Cafe latéO,4.6,"Jl. Gn. Semeru No.3, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80111",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,13.00–23.00,13.00,23.00,(0361)424159,https://lh5.googleusercontent.com/p/AF1QipPfrFaDXbdwksuo_xfj4DZw51WBcPq9HmPfn0yX=w434-h240-k-no
Logo House Fashion & Cafe,4.4,"Jl. Merdeka No.8, Sumerta Kelod, Denpasar Selatan, Kota Denpasar, Bali 80239",· Makan di tempat · Bawa pulang · Pesan antar,10.00–22.00,10.00,22.00,0813-2545-7167,https://lh5.googleusercontent.com/p/AF1QipP6fioDconFY_RT7slJRgY-ijCPb3rb4nFXmN18=w408-h612-k-no
Veranda Cafe,4.4,"86RQ+CQ4, Jl. Hayam Wuruk, Panjer, Kec. Denpasar Tim., Kota Denpasar, Bali 80239",· Makan di tempat · Bawa pulang,09.00–22.00,09.00,22.00,(0361)248090,https://lh5.googleusercontent.com/p/AF1QipPTZUTYw7pbeM-ZYvJSUFhuJ9fgkGaLFH05obOo=w426-h240-k-no
Bali United Cafe,4.6,"Jl. Tribun Tenggara, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581",· Makan di tempat · Bawa pulang,12.00–21.00,12.00,21.00,0888-0188-8888,https://lh5.googleusercontent.com/p/AF1QipOT4oi3_K6RAGzVputYslQNDThE18ZnpCobQYQs=w408-h544-k-no
Tophat Cafe,4.9,"Jl. Bedugul No.39, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,09.00–22.00,09.00,22.00,0897-768-5757,https://lh5.googleusercontent.com/p/AF1QipN2cNXqU1V99DvB4LrMii5Q02dlrzTtd143DLqO=w408-h544-k-no
Kafe Celebrity,4.4,"Jl. Sedap Malam No.174, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",· Makan di tempat · Bawa pulang,Buka 24 jam,Buka 24 jam,Buka 24 jam,0812-345-4321,https://lh5.googleusercontent.com/p/AF1QipPKLd8iwPNOBrq6lsGF8Fx6KqlRx7M7cJknYsbM=s387-k-no
The Bare Bottle Kuta,4.6,"Jl. Bakung Sari Pertokoan, Jl. Raya Kuta No.D28, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,07.00–17.00,07.00,17.00,0821-3561-9831,https://lh5.googleusercontent.com/p/AF1QipPxKFzGCT_uqrp8UejHA_4wyf-vp3ztjQ8UxJmh=w408-h408-k-no
