Name,Budget,Lokasi,Rating,Picture
The Kubu Hotel,147263.00,"Jalan Poppies 1 Gg. Sorga, Poppies, Kuta, Bali, Indonesia, 80361",4.00,https://drive.google.com/file/d/1XObqpcNFgqY8tCtbcHpCU1cvxgJY3LQG/view?usp=sharing
Tijili Benoa Hotel,788858.00,"Jl. Pratama No 62, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/16L7QOdhqToJ5oIVIR0u7hzL5HcqWsDuB/view?usp=sharing
"Four Points by Sheraton Bali, Ungasan",1064800.00,"Jalan Raya Uluwatu, Banjar Giri Dharma Ungasan, Kuta Selatan 80364 Indonesia, Jimbaran, Kuta Selatan, Bali, Indonesia, 80364",4.35,https://drive.google.com/file/d/1MZC0FHDt5vVJmHaOxcdiRpSbEdEnYRg6/view?usp=sharing
The Garcia Ubud Hotel and Resort,2187676.00,"Jalan Raya Silungan, Lodtunduh, Ubud, Gianyar, Bali, Indonesia, 80571",4.45,https://drive.google.com/file/d/1v-kj4N5jV5rO5U1mAmF7JnZjh_CdTkqP/view?usp=sharing
Puri Saron Baruna Beach Cottages,638400.00,"Desa Pemaron, Lovina, Buleleng, Bali, Indonesia, 81151",4.30,https://drive.google.com/file/d/1PpEAxryxz7LaHpCmRccuuQ9wr7B9KMv5/view?usp=sharing
ZURI Express Jimbaran,312860.00,"Jalan  Uluwatu II, NO. 88X, Jimbaran, Kuta Selatan, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1BbP5ZmHaP1nvn_shzEHFNlIYJ4PMlDjI/view?usp=sharing
The Cakra Hotel,471240.00,"Jln By Pass Ngurah Rai No.28 Sanur, Denpasar Timur, Denpasar, Bali, Indonesia, 80237",4.30,https://drive.google.com/file/d/1LIuufquCefPhR5Y_qL1gLeTF7eNXiPoL/view?usp=sharing
Grandmas Plus Hotel - Legian,527000.00,"Jalan Sriwijaya No. 368, Legian, Kuta, Bali, Indonesia, 80361",4.20,https://drive.google.com/file/d/1ywziTzmdel_vEOQYdjAXvRluyg9NFjKe/view?usp=sharing
Super OYO Flagship 2688 Guntur Hotel,171000.00,"Jalan Gatot Subroto Timur No 32 Tohpati Denpasar, Denpasar Utara, Bali, 80361, Indonesia, Denpasar Timur, Denpasar, Bali, Indonesia, 80361",3.85,https://drive.google.com/file/d/1_56Obb3zPhH7q49PVTqPjzBdNZ9pS8tK/view?usp=sharing
Euphoria Hotel ,1652400.00,"Jl. Patih Jelantik 11-12, Legian, Kuta, Bali, Indonesia",4.25,https://drive.google.com/file/d/1yIC2lhQGzX43qip54eofdy-93IRzPKUF/view?usp=sharing
